sourceName,creationDate,startDate,endDate,value,unit
Billal’s iPhone,2021-10-10 16:12:05 -0400,2021-10-03 16:05:39 -0400,2021-10-10 16:12:05 -0400,HKCategoryValueHeadphoneAudioExposureEventSevenDayLimit,
Billal’s iPhone,2021-10-10 18:35:37 -0400,2021-10-10 16:12:05 -0400,2021-10-10 18:35:37 -0400,HKCategoryValueHeadphoneAudioExposureEventSevenDayLimit,
Billal’s iPhone,2021-10-10 19:17:33 -0400,2021-10-10 18:35:37 -0400,2021-10-10 19:17:33 -0400,HKCategoryValueHeadphoneAudioExposureEventSevenDayLimit,
Billal’s iPhone,2021-10-12 13:51:46 -0400,2021-10-10 19:17:33 -0400,2021-10-12 13:51:46 -0400,HKCategoryValueHeadphoneAudioExposureEventSevenDayLimit,
Billal’s iPhone,2021-10-12 18:04:11 -0400,2021-10-12 13:51:46 -0400,2021-10-12 18:04:11 -0400,HKCategoryValueHeadphoneAudioExposureEventSevenDayLimit,
Billal’s iPhone,2021-10-18 00:42:08 -0400,2021-10-12 18:04:11 -0400,2021-10-18 00:42:08 -0400,HKCategoryValueHeadphoneAudioExposureEventSevenDayLimit,
Billal’s iPhone,2021-10-19 23:15:00 -0400,2021-10-18 00:42:08 -0400,2021-10-19 23:15:00 -0400,HKCategoryValueHeadphoneAudioExposureEventSevenDayLimit,
Billal’s iPhone,2021-10-23 15:09:33 -0400,2021-10-19 23:15:00 -0400,2021-10-23 15:09:33 -0400,HKCategoryValueHeadphoneAudioExposureEventSevenDayLimit,
